STATE,FY_CLIPPED,STATE_YEAR_COAL_PRICE_MMBTU,STATE_YEAR_ELECTRICITY_PRICE_MMBTU,STATE_YEAR_NATURAL_GAS_PRICE_MMBTU,STATE_YEAR_PETROLEUM_PRICE_MMBTU,STATE_YEAR_TOTAL_PRICE_MMBTU,STATE_YEAR_ELEC_GAS_RATIO,CURRENT_PRICE_YEAR,CURRENT_COAL_PRICE_MMBTU,CURRENT_ELECTRICITY_PRICE_MMBTU,CURRENT_NATURAL_GAS_PRICE_MMBTU,CURRENT_PETROLEUM_PRICE_MMBTU,CURRENT_TOTAL_PRICE_MMBTU,CURRENT_ELEC_GAS_RATIO
CA,1975,1.32,6.7,1.05,2.35,2.24,6.3809523809523805,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,1976,1.43,7.62,1.39,2.48,2.65,5.482014388489209,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,1977,1.47,9.46,1.86,2.72,3.22,5.086021505376344,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,1978,1.59,10.75,2.04,2.84,3.75,5.269607843137255,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,1979,1.69,10.96,2.61,3.83,4.32,4.199233716475097,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,1980,1.91,16.04,3.64,5.36,6.22,4.406593406593406,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,1981,2.16,18.11,3.88,6.55,7.05,4.667525773195877,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,1982,2.19,21.24,4.66,6.4,7.95,4.557939914163089,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,1983,2.37,19.83,5.28,6.59,8.4,3.755681818181818,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,1984,2.39,19.59,5.01,6.2,7.68,3.910179640718563,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,1985,2.25,22.0,4.54,6.34,7.96,4.845814977973569,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,1986,2.26,21.63,3.46,5.39,7.25,6.2514450867052025,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,1987,2.09,20.38,3.39,5.77,6.67,6.011799410029498,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,1988,1.94,20.15,3.65,5.59,7.0,5.520547945205479,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,1989,1.93,20.89,3.61,5.73,6.91,5.786703601108034,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,1990,2.0,21.35,3.79,6.21,7.09,5.633245382585752,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,1991,1.97,22.22,3.86,6.06,7.21,5.756476683937824,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,1992,1.83,22.25,3.58,6.32,7.18,6.215083798882682,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,1993,1.85,21.49,2.72,6.15,6.53,7.900735294117646,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,1994,1.87,20.79,3.19,6.18,6.87,6.517241379310344,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,1995,1.76,21.59,3.66,6.14,7.05,5.898907103825136,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,1996,1.7,20.41,3.65,6.51,6.97,5.5917808219178085,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,1997,1.74,20.38,4.11,6.39,7.11,4.958637469586374,2024,5.14,63.09,11.06,29.01,,5.704339963833635
