ARC,ARC_2DIGIT,impl_rate,n_recs,median_benchmark_energy,median_benchmark_dollar,median_technical_total,median_real_historical_value,median_state_year_standardized_value,median_current_value,sector_mode,primary_source_group_mode,primary_fuel_bucket_mode
2.2515,2.2,0.3791469194312796,422,304.29069000000004,3018.5,307.001524,3470.4016555902053,2909.3906655600003,3674.5149760000004,Unknown,natural_gas,steam_or_thermal
2.2113,2.2,0.7401960784313726,408,1688.5,10195.5,1688.5,11126.554049051098,11042.16,12997.145,Unknown,natural_gas,steam_or_thermal
2.2614,2.2,0.2236180904522613,398,362.58471,7406.224,362.58471,8689.062670364501,7550.9257811200005,10991.49822738,Unknown,electricity,electricity
2.2443,2.2,0.2885714285714286,350,1062.5,7088.5,1077.5,8392.308872512258,6636.74,9251.869999999999,Unknown,natural_gas,steam_or_thermal
2.2628,2.2,0.26666666666666666,330,343.74194,7535.5,356.80478200000005,8295.8379004329,5823.8533714800005,8544.25496068,Metal/Machinery/Electronics,electricity,electricity
2.2621,2.2,0.3486238532110092,327,446.53185199999996,7349.0,446.53185199999996,8766.0,6269.434845,11392.5369792,Unknown,electricity,electricity
2.2121,2.2,0.484472049689441,322,1488.5,10553.0,1488.5,13092.425859502397,8418.950171280001,10855.275000000001,Unknown,natural_gas,steam_or_thermal
2.2122,2.2,0.5562700964630225,311,104.0,454.0,102.0,622.9575586962792,447.11999999999995,727.65,Unknown,natural_gas,steam_or_thermal
2.2622,2.2,0.3614864864864865,296,747.656206,17588.705,747.656206,20094.777647927378,13444.63736184,17933.60962302,Metal/Machinery/Electronics,electricity,electricity
2.2442,2.2,0.21160409556313994,293,1472.0,8965.0,1472.0,9888.093558628814,9179.08,10429.65,Metal/Machinery/Electronics,natural_gas,steam_or_thermal
2.2449,2.2,0.24907063197026022,269,1269.0,8805.349494,1280.0,9299.284331882534,8384.32,8803.76,Unknown,natural_gas,steam_or_thermal
2.2444,2.2,0.29107981220657275,213,1712.0,9026.0,1712.0,10447.0,8522.880000000001,12621.455000000002,Unknown,natural_gas,steam_or_thermal
2.2531,2.2,0.42105263157894735,209,320.0,2790.0,320.0,3305.0,2278.152,3192.16,Unknown,natural_gas,steam_or_thermal
2.2625,2.2,0.4187192118226601,203,158.16326,2785.0,158.16326,2953.0,2921.5367031600003,3698.01656392,Chemical/Plastics/Paper/Rubber,electricity,electricity
2.2211,2.2,0.4648648648648649,185,387.395852,4978.0,408.0,5420.0,4378.9608,5001.18,Metal/Machinery/Electronics,natural_gas,steam_or_thermal
2.2441,2.2,0.2774566473988439,173,1376.0,8856.0,1322.0,9268.014303902688,7686.91,9332.4,Unknown,natural_gas,steam_or_thermal
