ARC,ARC_2DIGIT,n_recs,energy_frac_q75,energy_frac_q90,value_frac_q75,value_frac_q90,energy_p25,energy_median,energy_p75,current_value_median,benchmark_dollar_median,payback_median,impl_rate_hist
2.1111,2.1,17,0.054403501176900224,0.11608689770377442,0.04212327709780571,0.08177461798374258,706.0,1754.0,7764.0,9550.4,11010.0,0.33371949335804996,0.35294117647058826
2.1113,2.1,211,0.044970264376757524,0.09741113037722807,0.03532947091682409,0.08884153867787448,447.2564,1728.0,5432.5,10506.4584,10389.0,0.264082738794235,0.44549763033175355
2.1114,2.1,22,0.05940053564525168,0.2240257597894436,0.05587863112211007,0.16045419783699919,547.5,1055.0,4103.5,9509.83,7210.5,0.34602076124567,0.5
2.1116,2.1,166,0.08229627139154548,0.18320591915711038,0.060003809840594724,0.17800072391837396,538.5,1938.5,6707.0,15920.4202288,12222.0,0.713275262884475,0.3614457831325301
2.1117,2.1,17,0.07093591329221247,0.13011993159664376,0.08665798732748539,0.11685100220034302,149.489956,582.5,1681.4336,7102.26780956,10888.0,0.22961058045555,0.0
2.1121,2.1,159,0.023268479658396707,0.059742112648144594,0.02425011690741375,0.0754982769977957,108.50016,286.0,863.0,2505.09,2681.0,0.63388625592417,0.3584905660377358
2.1122,2.1,72,0.04144720338637896,0.08040829870730601,0.04011622274129259,0.08576679908379374,147.0,952.25,2495.5,5107.8211626,4622.5,0.825474919982495,0.2916666666666667
2.1123,2.1,272,0.03329032316475021,0.05056327771760848,0.021129253538878044,0.03452935386851397,106.0,215.5,545.0,1330.6299999999999,1045.5,1.2082888856012501,0.35661764705882354
2.1125,2.1,11,0.3064618684145316,0.3749088938319617,0.23115369476215347,0.4175978260869565,9495.896636000001,39997.0,160608.5,180250.0,235855.0,0.79737772806523,0.09090909090909091
2.1131,2.1,275,0.015794779528048666,0.03716382854666229,0.013150045815095258,0.03907739341320081,75.5,183.0,591.99,1316.14,1080.0,0.73142857142857,0.4509090909090909
2.1132,2.1,11,0.08107982153617378,0.1440248015349936,0.04249533358733723,0.055282233867869755,167.23474,229.503272,610.0,2466.2024712,2440.0,0.7237256935969549,0.18181818181818182
2.1133,2.1,234,0.04667364866346218,0.09928334397186431,0.03461877132205829,0.09059532576175815,333.0,1066.5,3300.0,6295.31,6734.0,0.364144989949475,0.5982905982905983
2.1134,2.1,14,0.016754843174914893,0.05424518563668832,0.005628038491765667,0.035181131908808894,61.5,89.5,1779.75,989.8700000000001,695.0,0.77720207253886,0.7857142857142857
2.1135,2.1,123,0.03140271077422346,0.08768786502228672,0.02617047460652835,0.060859578251056846,175.87154,619.707912,2218.0,4136.0,3833.0,0.28661907680077,0.6016260162601627
2.1211,2.1,22,0.04213670461970447,0.07273098447243716,0.040847389740257756,0.06324249483266271,123.70459,603.0,1707.75,6598.5650000000005,5061.0,0.90869728915665,0.36363636363636365
